iter	Passed	Remaining
0	136	136567
1	137	68521
2	137	45805
3	138	34436
4	138	27618
5	139	23074
6	139	19826
7	140	17392
8	140	15498
9	141	13985
10	141	12745
11	142	11714
12	142	10843
13	143	10093
14	143	9444
15	144	8875
16	144	8373
17	145	7927
18	145	7537
19	146	7183
20	147	6857
21	147	6560
22	148	6293
23	148	6045
24	149	5817
25	149	5607
26	150	5413
27	150	5232
28	151	5064
29	151	4906
30	152	4762
31	152	4624
32	153	4494
33	153	4372
34	154	4256
35	154	4148
36	155	4044
37	155	3946
38	156	3854
39	156	3766
40	157	3682
41	157	3603
42	158	3527
43	159	3455
44	159	3386
45	160	3320
46	160	3258
47	161	3196
48	161	3137
49	162	3081
50	162	3027
51	163	2975
52	164	2932
53	164	2883
54	165	2836
55	165	2791
56	166	2747
57	166	2705
58	167	2664
59	167	2624
60	168	2587
61	168	2550
62	169	2518
63	169	2484
64	170	2451
65	170	2418
66	171	2386
67	171	2352
68	172	2322
69	172	2294
70	173	2265
71	173	2239
72	174	2213
73	174	2189
74	175	2163
75	175	2139
76	176	2114
77	176	2091
78	177	2068
79	177	2046
80	178	2024
81	178	2002
82	179	1981
83	179	1961
84	180	1940
85	180	1921
86	181	1901
87	181	1883
88	182	1865
89	182	1847
90	183	1830
91	183	1813
92	184	1796
93	184	1780
94	186	1772
95	186	1756
96	187	1741
97	187	1726
98	188	1711
99	188	1697
100	189	1683
101	189	1667
102	189	1653
103	190	1640
104	190	1627
105	191	1615
106	192	1603
107	192	1590
108	193	1578
109	193	1566
110	194	1555
111	194	1543
112	195	1531
113	195	1520
114	196	1509
115	196	1498
116	197	1487
117	197	1479
118	198	1468
119	198	1457
120	199	1447
121	199	1437
122	200	1426
123	200	1416
124	200	1406
125	201	1397
126	201	1388
127	202	1378
128	203	1370
129	203	1362
130	204	1353
131	204	1345
132	205	1336
133	205	1328
134	206	1320
135	206	1311
136	207	1304
137	207	1296
138	208	1289
139	208	1281
140	209	1273
141	209	1266
142	210	1259
143	210	1252
144	211	1245
145	211	1238
146	212	1231
147	212	1225
148	213	1218
149	213	1212
150	214	1205
151	214	1199
152	215	1192
153	215	1186
154	216	1180
155	216	1173
156	217	1167
157	217	1161
158	218	1155
159	219	1151
160	219	1145
161	220	1139
162	220	1133
163	221	1128
164	221	1122
165	222	1117
166	222	1112
167	223	1106
168	224	1101
169	224	1096
170	225	1091
171	225	1086
172	226	1080
173	226	1075
174	227	1070
175	227	1065
176	228	1060
177	228	1055
178	229	1050
179	229	1045
180	229	1040
181	230	1035
182	230	1031
183	231	1026
184	231	1021
185	232	1017
186	232	1012
187	233	1008
188	233	1003
189	234	999
190	235	995
191	235	992
192	236	988
193	236	984
194	237	979
195	237	975
196	238	971
197	238	967
198	239	963
199	239	959
200	240	955
201	240	951
202	241	949
203	242	945
204	242	941
205	243	937
206	243	933
207	244	930
208	244	926
209	245	922
210	245	919
211	246	916
212	247	913
213	247	909
214	248	906
215	248	902
216	249	899
217	249	895
218	250	892
219	250	888
220	251	885
221	251	882
222	252	878
223	253	876
224	253	873
225	254	870
226	254	867
227	255	864
228	255	860
229	256	857
230	256	854
231	257	851
232	257	848
233	258	845
234	258	842
235	259	840
236	260	837
237	260	834
238	261	831
239	261	828
240	261	825
241	262	822
242	262	819
243	263	816
244	264	813
245	264	810
246	265	808
247	265	805
248	266	802
249	266	799
250	267	796
251	267	794
252	268	791
253	268	788
254	269	786
255	269	783
256	270	781
257	270	778
258	271	775
259	271	773
260	272	771
261	272	768
262	273	766
263	273	763
264	274	760
265	274	758
266	275	756
267	275	753
268	276	751
269	276	748
270	277	746
271	277	743
272	278	741
273	278	739
274	279	736
275	279	734
276	280	732
277	281	730
278	281	728
279	282	725
280	282	723
281	283	721
282	283	718
283	284	716
284	284	714
285	285	712
286	285	710
287	286	708
288	287	706
289	287	704
290	288	702
291	288	699
292	289	697
293	289	695
294	290	693
295	290	691
296	291	689
297	291	687
298	292	685
299	292	683
300	293	681
301	293	679
302	294	677
303	294	675
304	295	673
305	295	671
306	296	669
307	297	667
308	297	665
309	298	663
